,0,1,2,3,4,5,6,7,8,9,10,11
14,mSalfG9azxXPl1FbYQzbFQ,clean-eatz-columbus-columbus-2,CleanEatzColumbus,https://www.yelp.com/biz/clean-eatz-columbus-columbus-2?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,43,+16145058010,9487.3292588846,40.065170,-83.020200,4.0,"Comfort Food, Vegetarian","delivery, pickup"
15,xGE-_Dur7yHaMolekNPTWw,taste-of-orient-columbus,TasteofOrient,https://www.yelp.com/biz/taste-of-orient-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,144,+16142633888,3590.1286678557,40.011600,-83.010220,3.5,"Chinese, Asian Fusion, Thai","delivery, pickup"
16,c9ZoAPau0oyTfldL0W55hQ,koshary-king-columbus,KosharyKing,https://www.yelp.com/biz/koshary-king-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,8,+16143779410,3665.3103873923,40.015114,-83.000050,4.5,"Egyptian, Street Vendors","delivery, pickup"
17,mTy7KdAUJ_68RKtVWfIQGg,salt-and-pepper-restaurant-columbus,Salt&PepperRestaurant,https://www.yelp.com/biz/salt-and-pepper-restaurant-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,23,+16143725030,12394.6050265777,40.066452,-83.087048,4.5,"Middle Eastern, Mediterranean","delivery, restaurant_reservation, pickup"
18,uyvvzHJ9tlXZ-DEbCJ81Zg,wings-restaurant-columbus-2,Wing'sRestaurant,https://www.yelp.com/biz/wings-restaurant-columbus-2?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,89,+16142368261,6412.6436419231,39.956500,-82.923710,3.0,"Chinese, Desserts, Sandwiches",delivery
19,qSt3ULwOPhoDk43ViEJMmw,taqueria-jalisco-columbus,TaqueriaJalisco,https://www.yelp.com/biz/taqueria-jalisco-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,49,+16145954202,9572.4008109775,40.063986,-82.952411,5.0,"Mexican, Food Trucks, Fast Food",delivery
20,nsB2FL26QS3ET4dDIDBD5w,creole-2-geaux-columbus-2,Creole2Geaux,https://www.yelp.com/biz/creole-2-geaux-columbus-2?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,5,+16143420545,1870.3017347136,39.969942,-83.004327,5.0,"Cajun/Creole, Food Trucks","pickup, delivery"
21,Bbktkmz2cIrWNMlnQQtevw,eastern-bay-columbus-2,EasternBay,https://www.yelp.com/biz/eastern-bay-columbus-2?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,92,+16144871198,7322.1433650415,39.997014,-83.074420,3.5,"Chinese, Buffets","pickup, delivery"
22,OvC1i7BO2BT1uFtLZmCbrg,fusian-columbus-2,FUSIAN,https://www.yelp.com/biz/fusian-columbus-2?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,157,+16145328383,10719.2545608587,40.055352,-82.907306,4.0,"Sushi Bars, Japanese","pickup, delivery"
23,2TDR7cJDYenS_wHLaxPI1Q,6-1-pho-columbus,6-1-Pho,https://www.yelp.com/biz/6-1-pho-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,256,+16147064903,8041.3044349858,40.051780,-83.019700,3.5,"Vietnamese, Noodles, Soup","pickup, delivery"
